"crossdefense_direction","crossdefense_helped","crossdefense_phase","crossdefense_defense","crossdefense_time","crossdefense_successfail","defense0Position","startDefense","allianceColor","defense5Position","matchNumber","defense1Position","withBall","defense4Position","defense3Position","scouterName","defense2Position","teamNumber","scouterNotes","Shoot_goal","Shoot_location","Shoot_timestamp","Shoot_phase","Shoot_goalHeight","Shoot_defender","Shoot_scoremiss","loadBall_location","loadBall_phase","loadBall_floorair","loadBall_successfail","dropball_location","dropball_fumbleeject","challenge_phase","challenge_successfail","Defend_goal","Defend_phase","Defend_blockscore","challenge_partOfBatter","Reach_phase","Reach_defense","climb_partOfBatter","climb_phase","climb_successfail"
"cross","false","teleop","5",5600,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!","Center","batter",1456889648000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","3",4500,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","3",4300,"fail","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!","Center","courtyard",1456889648000,"teleop","High","false","miss",,,,,,,,,,,,,,,,,
"back","false","teleop","3",3300,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,"neutralzone","fumble",,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,"neutralzone","teleop","floor","success",,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,"enemycourtyard","fumble",,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","3",3500,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!","Center","batter",1456889649000,"teleop","High","false","score",,,,,,,,,,,,,,,,,
"back","false","teleop","3",5500,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,"friendlycourtyard","teleop","floor","success",,,,,,,,,,,,,
"cross","false","teleop","3",4500,"success","SpyBot","RoughTerrain","red","RoughTerrain","18","LowBar","true","Drawbridge","Moat","Kobe","Portcullis","1","These are notes!",,,,,,,,,,,,,,,,,,,,,,,,
